id,logged_at,category,code,name,interval,candle_time,action,signal_label,buy_votes,sell_votes,trend,close,lookahead,status,future_close,return_pct,resolved_at
crypto:KRW-BTC:day:2026-08-22T09:00:00,2026-08-22T11:37:30.275040,crypto,KRW-BTC,BTC,day,2026-08-22T09:00:00,매도,약한 매도,0,2,상승,107735000.0,5,loss,109229000.0,1.3867359725251882,2026-08-27T02:13:25.421724
crypto:KRW-ETH:day:2026-08-22T09:00:00,2026-08-22T11:37:33.940445,crypto,KRW-ETH,ETH,day,2026-08-22T09:00:00,매도,약한 매도,0,2,상승,3448000.0,5,loss,3464000.0,0.46403712296982924,2026-08-27T02:13:27.425132
crypto:KRW-WLD:minute60:2026-08-22T11:00:00,2026-08-22T11:37:36.385050,crypto,KRW-WLD,WLD,minute60,2026-08-22T11:00:00,매도,약한 매도,0,2,상승,575.0,24,win,533.0,-7.304347826086954,2026-08-23T02:14:29.461934
crypto:KRW-BTC:day:2026-08-23T09:00:00,2026-08-23T11:36:34.329887,crypto,KRW-BTC,BTC,day,2026-08-23T09:00:00,매도,약한 매도,1,2,상승,106003000.0,5,loss,110490000.0,4.23289906889428,2026-08-28T06:18:56.573473
crypto:KRW-ETH:day:2026-08-27T09:00:00,2026-08-27T02:13:27.439340,crypto,KRW-ETH,ETH,day,2026-08-27T09:00:00,매수,골든크로스,,,,3464000.0,5,loss,3405000.0,-1.7032332563510444,2026-09-01T00:12:56.112118
crypto:KRW-WLD:minute60:2026-08-29T03:00:00,2026-08-28T18:49:14.492077,crypto,KRW-WLD,WLD,minute60,2026-08-29T03:00:00,매수,약한 매수,2,0,하락,527.0,24,loss,523.0,-0.7590132827324458,2026-08-29T19:53:36.311267
crypto:KRW-WLD:minute60:2026-08-31T10:00:00,2026-08-31T01:34:16.884691,crypto,KRW-WLD,WLD,minute60,2026-08-31T10:00:00,매수,약한 매수,2,0,하락,497.0,24,win,505.0,1.6096579476861272,2026-09-01T05:13:16.436634
crypto:KRW-BTC:day:2026-09-02T09:00:00,2026-09-02T00:40:58.161719,crypto,KRW-BTC,BTC,day,2026-09-02T09:00:00,매수,골든크로스,,,,106500000.0,5,win,108861000.0,2.2169014084507,2026-09-07T01:03:14.502721
crypto:KRW-WLD:day:2026-09-06T09:00:00,2026-09-06T00:23:51.809432,crypto,KRW-WLD,WLD,day,2026-09-06T09:00:00,매수,약한 매수,2,1,상승,544.0,5,win,547.0,0.5514705882353033,2026-09-11T01:25:53.314157
crypto:KRW-WLD:minute60:2026-09-06T21:00:00,2026-09-06T12:51:26.200175,crypto,KRW-WLD,WLD,minute60,2026-09-06T21:00:00,매도,약한 매도,0,2,상승,576.0,24,loss,609.0,5.729166666666674,2026-09-07T16:40:34.812242
crypto:KRW-WLD:day:2026-09-08T09:00:00,2026-09-08T09:48:28.740388,crypto,KRW-WLD,WLD,day,2026-09-08T09:00:00,매도,약한 매도,0,2,상승,658.0,5,pending,,,
crypto:KRW-WLD:minute60:2026-09-10T07:00:00,2026-09-09T22:20:27.592980,crypto,KRW-WLD,WLD,minute60,2026-09-10T07:00:00,매수,약한 매수,2,0,상승,567.0,24,loss,546.0,-3.703703703703709,2026-09-10T23:34:25.053385
